C:\myData\IMG\center_2025_06_02_16_41_46_749.jpg,C:\myData\IMG\left_2025_06_02_16_41_46_749.jpg,C:\myData\IMG\right_2025_06_02_16_41_46_749.jpg,0,0,0,1.630256E-05
C:\myData\IMG\center_2025_06_02_16_41_46_944.jpg,C:\myData\IMG\left_2025_06_02_16_41_46_944.jpg,C:\myData\IMG\right_2025_06_02_16_41_46_944.jpg,0,0,0,8.332728E-06
C:\myData\IMG\center_2025_06_02_16_41_47_146.jpg,C:\myData\IMG\left_2025_06_02_16_41_47_146.jpg,C:\myData\IMG\right_2025_06_02_16_41_47_146.jpg,0,0,0,8.322348E-06
C:\myData\IMG\center_2025_06_02_16_41_47_341.jpg,C:\myData\IMG\left_2025_06_02_16_41_47_341.jpg,C:\myData\IMG\right_2025_06_02_16_41_47_341.jpg,0,0,0,6.323045E-06
C:\myData\IMG\center_2025_06_02_16_41_47_546.jpg,C:\myData\IMG\left_2025_06_02_16_41_47_546.jpg,C:\myData\IMG\right_2025_06_02_16_41_47_546.jpg,0,0,0,1.656406E-05
C:\myData\IMG\center_2025_06_02_16_41_47_759.jpg,C:\myData\IMG\left_2025_06_02_16_41_47_759.jpg,C:\myData\IMG\right_2025_06_02_16_41_47_759.jpg,0,0,0,1.875827E-06
C:\myData\IMG\center_2025_06_02_16_41_47_980.jpg,C:\myData\IMG\left_2025_06_02_16_41_47_980.jpg,C:\myData\IMG\right_2025_06_02_16_41_47_980.jpg,0,0.6008796,0,1.31979
C:\myData\IMG\center_2025_06_02_16_41_48_313.jpg,C:\myData\IMG\left_2025_06_02_16_41_48_313.jpg,C:\myData\IMG\right_2025_06_02_16_41_48_313.jpg,0,1,0,4.93909
C:\myData\IMG\center_2025_06_02_16_41_48_551.jpg,C:\myData\IMG\left_2025_06_02_16_41_48_551.jpg,C:\myData\IMG\right_2025_06_02_16_41_48_551.jpg,-0.6000001,1,0,7.617513
C:\myData\IMG\center_2025_06_02_16_41_48_775.jpg,C:\myData\IMG\left_2025_06_02_16_41_48_775.jpg,C:\myData\IMG\right_2025_06_02_16_41_48_775.jpg,0,1,0,10.26523
C:\myData\IMG\center_2025_06_02_16_41_48_987.jpg,C:\myData\IMG\left_2025_06_02_16_41_48_987.jpg,C:\myData\IMG\right_2025_06_02_16_41_48_987.jpg,0,1,0,12.50135
C:\myData\IMG\center_2025_06_02_16_41_49_337.jpg,C:\myData\IMG\left_2025_06_02_16_41_49_337.jpg,C:\myData\IMG\right_2025_06_02_16_41_49_337.jpg,0,1,0,14.66927
C:\myData\IMG\center_2025_06_02_16_41_49_531.jpg,C:\myData\IMG\left_2025_06_02_16_41_49_531.jpg,C:\myData\IMG\right_2025_06_02_16_41_49_531.jpg,-0.5000001,0.3998314,0,15.31889
C:\myData\IMG\center_2025_06_02_16_41_49_729.jpg,C:\myData\IMG\left_2025_06_02_16_41_49_729.jpg,C:\myData\IMG\right_2025_06_02_16_41_49_729.jpg,-1,0,0,14.71315
C:\myData\IMG\center_2025_06_02_16_41_49_934.jpg,C:\myData\IMG\left_2025_06_02_16_41_49_934.jpg,C:\myData\IMG\right_2025_06_02_16_41_49_934.jpg,0,0,0,14.23188
C:\myData\IMG\center_2025_06_02_16_41_50_138.jpg,C:\myData\IMG\left_2025_06_02_16_41_50_138.jpg,C:\myData\IMG\right_2025_06_02_16_41_50_138.jpg,0,0,0,13.96759
C:\myData\IMG\center_2025_06_02_16_41_50_325.jpg,C:\myData\IMG\left_2025_06_02_16_41_50_325.jpg,C:\myData\IMG\right_2025_06_02_16_41_50_325.jpg,-0.5000001,0,0,13.58686
C:\myData\IMG\center_2025_06_02_16_41_50_530.jpg,C:\myData\IMG\left_2025_06_02_16_41_50_530.jpg,C:\myData\IMG\right_2025_06_02_16_41_50_530.jpg,-1,0,0,12.97597
C:\myData\IMG\center_2025_06_02_16_41_50_738.jpg,C:\myData\IMG\left_2025_06_02_16_41_50_738.jpg,C:\myData\IMG\right_2025_06_02_16_41_50_738.jpg,0,0,0,12.50644
C:\myData\IMG\center_2025_06_02_16_41_50_937.jpg,C:\myData\IMG\left_2025_06_02_16_41_50_937.jpg,C:\myData\IMG\right_2025_06_02_16_41_50_937.jpg,0,0,0,12.13006
C:\myData\IMG\center_2025_06_02_16_41_51_146.jpg,C:\myData\IMG\left_2025_06_02_16_41_51_146.jpg,C:\myData\IMG\right_2025_06_02_16_41_51_146.jpg,0,0,0,12.18342
